,distance_from_home,distance_from_last_transaction,ratio_to_median_purchase_price,repeat_retailer,used_chip,used_pin_number,online_order,fraud
347788,11.945972575886731,7.775082466200534,0.2626745715368416,1.0,1.0,1.0,1.0,0.0
845764,39.26447168401383,24.749645068829743,1.9569555322050332,1.0,0.0,0.0,0.0,0.0
230977,1.3674718007046265,3.1317285699510315,0.5721040501235068,0.0,1.0,0.0,1.0,0.0
962271,31.484940887603592,0.1610983650211422,3.648509919527817,1.0,0.0,0.0,1.0,0.0
154305,5.311519936140513,3.537439698863468,6.56969624614386,1.0,1.0,0.0,1.0,1.0
596001,39.68512888109311,0.1416935734294004,0.3344510673405345,1.0,1.0,1.0,1.0,0.0
68571,12.611036907600614,0.6217420869301408,2.142577602191913,1.0,0.0,0.0,1.0,0.0
514270,48.61009454875756,0.7518677078559813,0.4759826877146731,1.0,0.0,0.0,1.0,0.0
175864,2.186987371070387,5.784370729269958,0.8898558107822272,1.0,1.0,0.0,1.0,0.0
845981,2.9855256445176823,6.608462232062373,0.1412862654383455,1.0,1.0,0.0,0.0,0.0
45523,8.972150149461783,1.5239455794715766,0.6992140561118444,1.0,0.0,0.0,1.0,0.0
741143,17.624570717302163,1.0496206876290215,1.873117680528339,1.0,1.0,0.0,1.0,0.0
669030,23.64983649705607,0.1156327184162884,0.591120113468834,1.0,0.0,0.0,0.0,0.0
577054,15.286803764360585,4.429102887404514,0.944587456048728,1.0,1.0,0.0,1.0,0.0
337038,20.091742059975445,0.6415505579095965,1.9776780126780351,1.0,0.0,0.0,1.0,0.0
726188,6.321385342662802,4.525764044276832,5.358799904396669,1.0,1.0,1.0,1.0,0.0
809174,17.74468754337417,1.1172731816171255,0.1911644746909016,1.0,1.0,0.0,1.0,0.0
583194,2.731374941124558,0.1258119639212571,0.3465659592441568,1.0,0.0,0.0,1.0,0.0
325989,55.239163504619945,0.2020125107798016,3.5960911954788366,1.0,0.0,0.0,1.0,0.0
559672,2.7411528114496124,0.943282147689304,2.9849679486196616,1.0,0.0,0.0,1.0,0.0
882091,34.580246930986654,0.456790132335838,0.0528376877215012,1.0,1.0,0.0,1.0,0.0
741991,11.003194854937806,7.36369872188264,5.687428203104165,1.0,1.0,0.0,1.0,1.0
484754,4.959789393274061,20.493406347997137,0.8984791118413202,1.0,0.0,0.0,0.0,0.0
351167,2.2025066751656905,0.2438266594207883,0.9272040200889572,1.0,0.0,0.0,1.0,0.0
199645,107.42583337464907,5.939633009322125,3.314814475861734,1.0,0.0,0.0,0.0,0.0
96011,4.793902182280711,0.1537041035606635,0.8349540568536106,1.0,1.0,0.0,1.0,0.0
583185,44.937687348091615,0.2242560974849158,2.261210159682837,1.0,0.0,0.0,0.0,0.0
957499,1.9083555148773328,0.1808755638272217,1.8274273184309864,1.0,1.0,0.0,1.0,0.0
857943,16.15842130540488,0.1152868271159127,0.6924144491059855,1.0,1.0,0.0,0.0,0.0
823005,2.7401076982836328,3.404348554137432,1.8858019586992745,1.0,0.0,0.0,0.0,0.0
776319,118.84543788836709,9.390493536140593,1.3122235213274622,1.0,0.0,0.0,0.0,0.0
828870,5.21443866301192,0.0196521952426193,2.117932624711496,1.0,0.0,0.0,1.0,0.0
143820,74.4262942874949,0.7732620346533298,0.286545239861962,1.0,0.0,0.0,1.0,0.0
42060,9.862130677698266,0.3601264635796133,4.472626778456638,1.0,0.0,0.0,0.0,0.0
467219,25.20176373071797,0.2732261966186422,3.050042653656884,1.0,1.0,0.0,0.0,0.0
944110,9.6526699694198,0.0083116764660976,3.527781914760876,1.0,1.0,0.0,0.0,0.0
